csv_transform,material_transform,target_transform,model,best_params,cv_score,test_r2,test_r2_inv
csv_none,material_norm_then_std,target_boxcox,Lasso,{'regressor__alpha': np.float64(10.0)},0.11217566656261231,0.1322395434526088,0.13219634448081496
csv_none,material_norm_then_std,target_boxcox,ElasticNet,"{'regressor__alpha': np.float64(46.41588833612773), 'regressor__l1_ratio': 0.2}",0.10911442978073219,0.13738960660416566,0.13734517680273228
csv_none,material_norm_then_std,target_yeojohnson,Ridge,{'regressor__alpha': np.float64(0.001)},0.2625224323610368,0.3295946502408392,0.3295486809623569
csv_none,material_norm_then_std,target_yeojohnson,Lasso,{'regressor__alpha': np.float64(10.0)},0.09962559992105449,0.14831698066416654,0.14819726306064984
csv_none,material_norm_then_std,target_yeojohnson,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.5}",0.2930588722603046,0.16942590210514208,0.17333906581480663
csv_log,material_none,target_none,Ridge,{'regressor__alpha': np.float64(1000.0)},-4.126427969213564,0.3050760504940384,0.3050760504940384
csv_log,material_none,target_none,Lasso,{'regressor__alpha': np.float64(0.1)},0.10790421622557378,0.1151951132411565,0.1151951132411565
csv_log,material_none,target_none,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.8}",0.13389423013925378,0.1807693351827182,0.1807693351827182
csv_log,material_none,target_log,Ridge,{'regressor__alpha': np.float64(1000.0)},-3.6445251095434066,0.3000934715886955,0.2957816458009839
csv_log,material_none,target_log,Lasso,{'regressor__alpha': np.float64(0.021544346900318832)},0.10884847097565983,0.110781420708425,0.090700300096485
csv_log,material_none,target_log,ElasticNet,"{'regressor__alpha': np.float64(0.021544346900318832), 'regressor__l1_ratio': 0.8}",0.13548095128178558,0.17523356502093057,0.1589131404541293
csv_log,material_none,target_boxcox,Ridge,{'regressor__alpha': np.float64(1000.0)},-4.124255669480682,0.30508387630780065,0.3050379940252347
csv_log,material_none,target_boxcox,Lasso,{'regressor__alpha': np.float64(0.1)},0.10666851449329788,0.11196364551371762,0.11186632370195027
csv_log,material_none,target_boxcox,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.8}",0.13303279174974167,0.17856142147777143,0.17847637465550092
csv_log,material_none,target_yeojohnson,Ridge,{'regressor__alpha': np.float64(1000.0)},-4.121234509292669,0.30509672868100046,0.30497830788237335
csv_log,material_none,target_yeojohnson,Lasso,{'regressor__alpha': np.float64(0.1)},0.13847991494238748,0.19215872135874945,0.19195561662448346
csv_log,material_none,target_yeojohnson,ElasticNet,"{'regressor__alpha': np.float64(0.46415888336127775), 'regressor__l1_ratio': 0.2}",0.14715837198597576,0.1986250290079763,0.19842163434518234
csv_log,material_standardize,target_none,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.7485637384539072,0.29729782783425485,0.29729782783425485
csv_log,material_standardize,target_none,Lasso,{'regressor__alpha': np.float64(0.1)},0.10331964001748122,0.1564771099095119,0.1564771099095119
csv_log,material_standardize,target_none,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.8}",0.14958720511185522,0.20410477908246683,0.20410477908246683
csv_log,material_standardize,target_log,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.7438394429194426,0.2832519642961804,0.2892521010280277
csv_log,material_standardize,target_log,Lasso,{'regressor__alpha': np.float64(0.021544346900318832)},0.10599109474965954,0.14348199239141113,0.1316152697885512
csv_log,material_standardize,target_log,ElasticNet,"{'regressor__alpha': np.float64(0.021544346900318832), 'regressor__l1_ratio': 0.8}",0.14939269677650224,0.1856706187864604,0.17878879777020595
csv_log,material_standardize,target_boxcox,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.7486811115880678,0.2972624002439791,0.2972657804385187
csv_log,material_standardize,target_boxcox,Lasso,{'regressor__alpha': np.float64(0.1)},0.10149112037156216,0.15420478194529075,0.15414415660913672
csv_log,material_standardize,target_boxcox,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.8}",0.1479834267435525,0.20221235822665284,0.2021714088823875
csv_log,material_standardize,target_yeojohnson,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.7488550145304529,0.2972158977006506,0.29721461929960546
csv_log,material_standardize,target_yeojohnson,Lasso,{'regressor__alpha': np.float64(0.1)},0.15898653705172466,0.2122671985844221,0.2121723223529406
csv_log,material_standardize,target_yeojohnson,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.8}",0.18289559509728895,0.2332865602674572,0.23322443603683363
csv_log,material_normalize,target_none,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.5392120493283766,0.2884896334310627,0.2884896334310627
csv_log,material_normalize,target_none,Lasso,{'regressor__alpha': np.float64(0.1)},0.09374256263548653,0.15220034491380408,0.15220034491380408
csv_log,material_normalize,target_none,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.5}",0.13806376479394472,0.2272190620185881,0.2272190620185881
csv_log,material_normalize,target_log,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.5524031077526901,0.2742335013722136,0.2798995828281249
csv_log,material_normalize,target_log,Lasso,{'regressor__alpha': np.float64(0.021544346900318832)},0.0962159050345818,0.13967309780619885,0.12811050558655324
csv_log,material_normalize,target_log,ElasticNet,"{'regressor__alpha': np.float64(0.021544346900318832), 'regressor__l1_ratio': 0.5}",0.1426870865634803,0.22181757605732,0.2201195414965581
csv_log,material_normalize,target_boxcox,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.5393920605819273,0.28845277453755536,0.288455135268457
csv_log,material_normalize,target_boxcox,Lasso,{'regressor__alpha': np.float64(0.1)},0.09275501721259047,0.15042633497045865,0.15036628756600567
csv_log,material_normalize,target_boxcox,ElasticNet,"{'regressor__alpha': np.float64(0.1), 'regressor__l1_ratio': 0.5}",0.13755125608913019,0.22680852318609412,0.22678081437788178
csv_log,material_normalize,target_yeojohnson,Ridge,{'regressor__alpha': np.float64(1000.0)},-0.539650554615756,0.2884044913465347,0.28840078695725313
csv_log,material_normalize,target_yeojohnson,Lasso,{'regressor__alpha': np.float64(0.1)},0.11967146277688959,0.19778158484149677,0.19766494943141732
